sid,rule_name,stage
2013414,ET POLICY Executable served from Amazon S3,DATA_DELIVERY
2012811,ET DNS Query to a .tk domain - Likely Hostile,COMMAND_AND_CONTROL
2031094,ET INFO Request to .TK Domain with Minimal Headers,COMMAND_AND_CONTROL
2012810,ET POLICY HTTP Request to a *.tk domain,COMMAND_AND_CONTROL
2025338,ET CURRENT_EVENTS LinkedIn Phishing Landing 2018-02-09 M2,PHISHING
2011507,ET POLICY PDF With Embedded File,DATA_DELIVERY
2012758,ET INFO DYNAMIC_DNS Query to *.dyndns. Domain,COMMAND_AND_CONTROL
2014518,ET INFO EXE - OSX Disk Image Download,DATA_DELIVERY
2025227,ET INFO Possible Phishing Landing - Common Multiple JS Unescape May 25 2017,PHISHING
2403441,ET CINS Active Threat Intelligence Poor Reputation IP UDP group 71,COMMAND_AND_CONTROL
2025231,ET INFO Multiple Javascript Unescapes - Common Obfuscation Observed in Phish Landing,PHISHING
2013535,ET INFO HTTP Request to a *.tc domain,COMMAND_AND_CONTROL
2013743,ET INFO DYNAMIC_DNS Query to a Suspicious no-ip Domain,COMMAND_AND_CONTROL
2014332,ET POLICY Coral Web Proxy/Content Distribution Net Use,DATA_EXFILTRATION
2018433,ET WEB_CLIENT SUSPICIOUS Possible automated connectivity check (www.yahoo.com),CODE_EXECUTION
2001223,ET MALWARE Regnow.com Access,DATA_EXFILTRATION
2003458,ET POLICY Orkut.com Social Site Access,COMMAND_AND_CONTROL
2027757,ET DNS Query for .to TLD,COMMAND_AND_CONTROL
2012266,ET WEB_CLIENT Hex Obfuscation of unescape % Encoding,CODE_EXECUTION
2012043,ET WEB_CLIENT Hex Obfuscation of charCodeAt % Encoding,CODE_EXECUTION
2012041,ET WEB_CLIENT Hex Obfuscation of String.fromCharCode % Encoding,CODE_EXECUTION
2010525,ET WEB_CLIENT Possible HTTP 500 XSS Attempt (External Source),CODE_EXECUTION
2018302,ET INFO Possible Phish - Mirrored Website Comment Observed,DATA_EXFILTRATION
2014047,ET TROJAN Double HTTP/1.1 Header Inbound - Likely Hostile Traffic,COMMAND_AND_CONTROL
2009159,ET SCAN Toata Scanner User-Agent Detected,VULN_DISC
2024386,ET CURRENT_EVENTS Possible Google Docs Phishing Landing - Title over non SSL,DATA_DELIVERY
2025644,ET TROJAN Possible Metasploit Payload Common Construct Bind_API (from server),COMMAND_AND_CONTROL
2002911,ET SCAN Potential VNC Scan 5900-5920,NETWORK_DISC
2010937,ET SCAN Suspicious inbound to mySQL port 3306,VULN_DISC
2002910,ET SCAN Potential VNC Scan 5800-5820,NETWORK_DISC
2010935,ET SCAN Suspicious inbound to MSSQL port 1433,VULN_DISC
2010939,ET SCAN Suspicious inbound to PostgreSQL port 5432,VULN_DISC
2010936,ET SCAN Suspicious inbound to Oracle SQL port 1521,VULN_DISC
2018489,ET SCAN NMAP OS Detection Probe,NETWORK_DISC
2013479,ET SCAN Behavioral Unusually fast Terminal Server Traffic Potential Scan or Infection (Outbound),NETWORK_DISC
2001972,ET SCAN Behavioral Unusually fast Terminal Server Traffic Potential Scan or Infection (Inbound),NETWORK_DISC
2102465,GPL NETBIOS SMB-DS IPC$ share access,DATA_EXFILTRATION
2016670,ET WEB_SERVER SQL Errors in HTTP 200 Response (SqlException),CODE_EXECUTION
2017010,ET WEB_SERVER Possible SQLi xp_cmdshell POST body,DATA_EXFILTRATION
2101972,GPL FTP PASS overflow attempt,INFO_DISC
2101734,GPL FTP USER overflow attempt,INFO_DISC
2011488,ET FTP Suspicious Quotation Mark Usage in FTP Username,INFO_DISC
2011487,ET FTP Suspicious Percentage Symbol Usage in FTP Username,COMMAND_AND_CONTROL
2002383,ET SCAN Potential FTP Brute-Force attempt response,CREDENTIAL_ACCESS
2102416,GPL FTP invalid MDTM command attempt,INFO_DISC
2006402,ET POLICY Incoming Basic Auth Base64 HTTP Password detected unencrypted,PRIV_ESC
2101201,GPL WEB_SERVER 403 Forbidden,INFO_DISC
2025855,ET WEB_SPECIFIC_APPS Microhard Systems 3G/4G Cellular Ethernet and Serial Gateway - Default Credentials,PRIV_ESC
2010699,ET WEB_SPECIFIC_APPS Possible HP Power Manager Management Web Server Login Remote Buffer Overflow Attempt,CODE_EXECUTION
2017205,ET EXPLOIT Wscript Shell Run Attempt - Likely Hostile,CODE_EXECUTION
2103072,GPL IMAP status overflow attempt,INFO_DISC
2101842,GPL IMAP login buffer overflow attempt,INFO_DISC
2012708,ET WEB_SERVER HTTP 414 Request URI Too Large,COMMAND_AND_CONTROL
2101245,GPL EXPLOIT ISAPI .idq access,DATA_EXFILTRATION
2101244,GPL EXPLOIT ISAPI .idq attempt,DATA_EXFILTRATION
2103070,GPL IMAP fetch overflow attempt,INFO_DISC
2011465,ET WEB_SERVER /bin/sh In URI Possible Shell Command Execution Attempt,CODE_EXECUTION
2009247,ET SHELLCODE Rothenburg Shellcode,COMMAND_AND_CONTROL
2100987,GPL EXPLOIT .htr access,INFO_DISC
2019627,ET WEB_SERVER Possible Cookie Based BackDoor Used in Drupal Attacks,CODE_EXECUTION
2009678,ET WEB_SERVER Possible DD-WRT Metacharacter Injection Command Execution Attempt,DATA_EXFILTRATION
2101334,GPL EXPLOIT echo command attempt,INFO_DISC
2019182,ET WEB_SERVER HTTP POST Generic eval of base64_decode,CODE_EXECUTION
2011768,ET WEB_SERVER PHP tags in HTTP POST,DATA_DELIVERY
2016139,ET TROJAN Sakula/Mivast RAT CnC Beacon 1,COMMAND_AND_CONTROL
2002994,ET SCAN Rapid IMAP Connections - Possible Brute Force Attack,CREDENTIAL_ACCESS
2027262,ET INFO Dotted Quad Host ZIP Request,COMMAND_AND_CONTROL
2011706,ET P2P Bittorrent P2P Client User-Agent (uTorrent),COMMAND_AND_CONTROL
2012247,ET P2P BTWebClient UA uTorrent in use,DATA_EXFILTRATION
2008581,ET P2P BitTorrent DHT ping request,DATA_DELIVERY
2012734,ET USER_AGENTS Suspicious User-Agent String (AskPartnerCobranding),COMMAND_AND_CONTROL
2014734,ET P2P BitTorrent - Torrent File Downloaded,DATA_DELIVERY
2000369,ET P2P BitTorrent Announce,DATA_DELIVERY
2102180,GPL P2P BitTorrent announce request,DATA_DELIVERY
2010144,ET P2P Vuze BT UDP Connection (5),DATA_DELIVERY
2000334,ET P2P BitTorrent peer sync,DATA_DELIVERY
2008585,ET P2P BitTorrent DHT announce_peers request,DATA_DELIVERY
2102181,GPL P2P BitTorrent transfer,NETWORK_DISC
2008583,ET P2P BitTorrent DHT nodes reply,DATA_DELIVERY
2014703,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Reserved Bit Set,COMMAND_AND_CONTROL
2014701,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,COMMAND_AND_CONTROL
2000418,ET POLICY Executable and linking format (ELF) file download,COMMAND_AND_CONTROL
2000357,ET P2P BitTorrent Traffic,DATA_DELIVERY
2014702,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,COMMAND_AND_CONTROL
2101320,GPL INAPPROPRIATE fuck movies,INFO_DISC
2013097,ET INFO DYNAMIC_DNS HTTP Request to a *.dyndns.* domain,COMMAND_AND_CONTROL
2012966,ET SHELLCODE Possible %0d%0d%0d%0d Heap Spray Attempt,CODE_EXECUTION
2019837,ET WEB_CLIENT SUSPICIOUS Possible Office Doc with Embedded VBA Project (Wide),CODE_EXECUTION
2029753,ET INFO Suspicious GET Request with Possible COVID-19 URI M1,DATA_DELIVERY
2017886,ET INFO SUSPICIOUS SMTP EXE - EXE SMTP Attachment,DATA_DELIVERY
2002023,ET CHAT IRC USER command,NON_MALICIOUS
2002025,ET CHAT IRC JOIN command,NON_MALICIOUS
2002024,ET CHAT IRC NICK command,NON_MALICIOUS
2002028,ET CHAT IRC PONG response,NON_MALICIOUS
2012173,ET WEB_CLIENT eval String.fromCharCode String Which May Be Malicious,CODE_EXECUTION
2002027,ET CHAT IRC PING command,NON_MALICIOUS
2017318,ET CURRENT_EVENTS SUSPICIOUS IRC - PRIVMSG *.(exe|tar|tgz|zip)  download command,DATA_DELIVERY
2016141,ET INFO Executable Download from dotted-quad Host,COMMAND_AND_CONTROL
2021076,ET INFO SUSPICIOUS Dotted Quad Host MZ Response,COMMAND_AND_CONTROL
2002026,ET CHAT IRC PRIVMSG command,NON_MALICIOUS
2024432,ET INFO Suspicious HTML Hex Obfuscated Title - Possible Phishing Landing Jun 28 2017,CODE_EXECUTION
2002157,ET CHAT Skype User-Agent detected,NON_MALICIOUS
2001595,ET CHAT Skype VOIP Checking Version (Startup),NON_MALICIOUS
2014546,ET CURRENT_EVENTS TDS Sutra - HTTP header redirecting to a SutraTDS,CODE_EXECUTION
2014543,ET CURRENT_EVENTS TDS Sutra - request in.cgi,DATA_DELIVERY
2011866,ET WEB_CLIENT Suspicious Embedded Shockwave Flash In PDF,CODE_EXECUTION
2017399,ET WEB_SERVER WebShell Generic eval of base64_decode,INFO_DISC
2032372,ET CURRENT_EVENTS Possible Phishing Landing Obfuscation 2016-02-26,PHISHING
2012260,ET WEB_CLIENT Hex Obfuscation of parseInt % Encoding,CODE_EXECUTION
2016969,ET TROJAN Possible Win32/Travnet.A Internet Connection Check (microsoft.com),COMMAND_AND_CONTROL
2011409,ET DNS DNS Query for Suspicious .co.cc Domain,COMMAND_AND_CONTROL
2011374,ET POLICY HTTP Request to a *.co.cc domain,COMMAND_AND_CONTROL
2014169,ET DNS Query for .su TLD (Soviet Union) Often Malware Related,COMMAND_AND_CONTROL
2014170,ET POLICY HTTP Request to .su TLD (Soviet Union) Often Malware Related,COMMAND_AND_CONTROL
2012956,ET DNS DNS Query for a Suspicious *.co.tv domain,COMMAND_AND_CONTROL
2012955,ET POLICY HTTP Request to a *.co.tv domain,COMMAND_AND_CONTROL
2016360,ET INFO JAVA - ClassID,DATA_EXFILTRATION
2018432,ET WEB_CLIENT SUSPICIOUS Possible automated connectivity check (www.bing.com),CODE_EXECUTION
2020565,ET POLICY Dropbox DNS Lookup - Possible Offsite File Backup in Use,DATA_EXFILTRATION
2012648,ET POLICY Dropbox Client Broadcasting,DATA_EXFILTRATION
2012263,ET WEB_CLIENT Hex Obfuscation of Script Tag % Encoding,CODE_EXECUTION
2014726,ET POLICY Outdated Flash Version M1,NON_MALICIOUS
2008116,ET TFTP Outbound TFTP Write Request,DATA_EXFILTRATION
